room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
18162012,1434,69233305,Shared room,,Chicago,,Logan Square,5,5.0,2,1.0,,25.0,,2017-07-11 11:14:57.060369,41.929756,-87.710799,0101000020E6100000E3C116BB7DED55C040A19E3E02F74440
7805526,1434,22215535,Shared room,,Chicago,,Little Village,52,4.5,2,1.0,,35.0,,2017-07-11 11:14:55.048824,41.855038,-87.69254,0101000020E6100000FFCA4A9352EC55C02B6B9BE271ED4440
4067570,1434,2907254,Shared room,,Chicago,,West Rogers Park,104,4.5,2,1.0,,31.0,,2017-07-11 11:14:55.033920,42.0169,-87.689048,0101000020E6100000F357C85C19EC55C0B5A679C729024540
15026595,1434,94872049,Shared room,,Chicago,,Kenwood,20,5.0,2,1.0,,38.0,,2017-07-11 11:14:55.026999,41.808984,-87.602968,0101000020E61000003622180797E655C05F7EA7C98CE74440
15409046,1434,64582798,Shared room,,Chicago,,Little Village,55,4.5,2,1.0,,39.0,,2017-07-11 11:14:55.021922,41.843716,-87.721246,0101000020E6100000BB97FBE428EE55C0548EC9E2FEEB4440
6050527,1434,2907254,Shared room,,Chicago,,West Rogers Park,25,4.5,1,1.0,,302.0,,2017-07-11 11:14:53.992115,42.017537,-87.687216,0101000020E61000006E52D158FBEB55C027BC04A73E024540
18269613,1434,13782839,Shared room,,Chicago,,Old Town Triangle,0,0.0,2,1.0,,190.0,,2017-07-11 11:14:52.783429,41.915506,-87.636086,0101000020E610000062DC0DA2B5E855C059A5F44C2FF54440
9192419,1434,15109028,Shared room,,Chicago,,Near East Side,9,5.0,2,1.0,,200.0,,2017-07-11 11:14:52.780864,41.887213,-87.617102,0101000020E6100000F51263997EE755C004CB113290F14440
4065712,1434,19800170,Shared room,,Chicago,,Avondale,10,5.0,3,1.0,,169.0,,2017-07-11 11:14:51.570455,41.943487,-87.705888,0101000020E6100000E3A8DC442DED55C0BF99982EC4F84440
15983526,1434,13784528,Shared room,,Chicago,,Uptown,1,0.0,4,1.0,,150.0,,2017-07-11 11:14:51.567571,41.966665,-87.656838,0101000020E6100000483140A209EA55C00B98C0ADBBFB4440
3906329,1434,19800170,Shared room,,Chicago,,Avondale,14,4.5,7,1.0,,169.0,,2017-07-11 11:14:51.565309,41.943969,-87.706882,0101000020E61000006308008E3DED55C00BB8E7F9D3F84440
19348305,1434,5760690,Shared room,,Chicago,,Lake View East,0,0.0,2,1.0,,150.0,,2017-07-11 11:14:51.562753,41.936486,-87.64671,0101000020E6100000C1FF56B263E955C0B894F3C5DEF74440
18811882,1434,9257976,Shared room,,Chicago,,Noble Square,1,0.0,2,1.0,,127.0,,2017-07-11 11:14:50.861748,41.900118,-87.661299,0101000020E610000029780AB952EA55C03D450E1137F34440
